Date,Close,High,Low,Change,CMP
2018-06-05,-3.3482655639788623,1.5161957270847612,-4.663450493912247,6.179646220997008,841.4500
2018-06-04,-0.9668979638266408,0.31850756455465296,-2.2750540325332724,2.5935615970879256,870.6000
2018-06-01,-4.977571204669508,0.7079932983840532,-5.31265200237799,6.020645300762044,879.1000
2018-05-31,-1.6373398543405433,0.9249906969326507,-2.0785710488543887,3.0035617457870396,925.1500
2018-05-30,-0.4972229568897165,1.0261835493255802,-1.4546416291986248,2.480825178524205,940.5500
2018-05-29,0.0900042354934374,1.4347734011012354,-0.8894536213468844,2.32422702244812,945.2500
2018-05-28,-0.7357578305654824,1.5030481395837785,-2.7538364515450846,4.256884591128863,944.4000
2018-05-25,2.0104004717739774,6.899694419128292,0.251970192462341,7.1516646115906335,951.4000
2018-05-24,0.09659243359269946,1.74403005097934,-0.9390931043734908,2.6831231553528307,932.6500
2018-05-23,-1.1825220065754563,2.852900625729131,-2.4286774843567693,5.281578110085901,931.7500
2018-05-22,-0.9350703929396909,0.7564614414793072,-4.286614835049376,5.043076276528683,942.9000
2018-05-21,-7.353871611427455,-0.23847763663793434,-8.497590889180898,8.736068525818833,951.8000
2018-05-18,-6.553574677096615,-0.03638348189922602,-8.040749499727132,8.077132981626358,1027.3500
2018-05-17,0.1001547846672254,3.796776836929805,-0.6919785122461903,4.488755349175995,1099.4000
2018-05-16,2.9189898327320303,5.420981117930928,-2.783113901513381,8.20409501944431,1098.3000
2018-05-15,1.2332210785941278,13.684010814400228,-0.39368211355121097,14.07769292795144,1067.1500
2018-05-14,-2.8522716800294736,0.49764998617639766,-3.875218873836509,4.372868860012907,1054.1500
2018-05-11,3.9467381933135184,4.751412970591043,-1.6285084778235461,6.379921448414589,1085.1000
2018-05-10,-4.470372912377022,0.1967513154884549,-4.918782887211164,5.115534202699619,1043.9000
2018-05-09,-2.1666144411119603,1.6160078785979637,-2.6993150991539543,4.315322977751918,1092.7500
2018-05-08,4.745158718994714,7.000515778121639,0.6517559900595532,7.652271768181192,1116.9500
2018-05-07,3.872004675628288,4.812000779271391,-0.15585427625169582,4.967855055523087,1066.3500
2018-05-04,1.9919527097511256,4.3167254483135515,-3.4672892553772767,7.784014703690828,1026.6000
2018-05-03,-3.369653914462644,-0.5424086785388653,-3.8832621321941194,4.425670810732985,1006.5500
2018-05-02,-2.307151230949581,1.9226260257913248,-3.5123094958968393,5.434935521688164,1041.6500
2018-04-30,0.5327173298133219,1.3530077314727642,-0.42428813878936456,1.7772958702621287,1066.2500
2018-04-27,1.8485619628367027,3.37542612954339,-0.12003649109329237,3.4954626206366823,1060.6000
