Date,Close,DailyReturn
2018-12-24,2.05,-2.4097551579060643
2018-12-21,2.1,2.4097551579060523
2018-12-20,2.05,-2.4097551579060643
2018-12-19,2.1,2.4097551579060523
2018-12-18,2.05,2.4692612590371414
2018-12-17,2.0,0.0
2018-12-14,2.0,0.0
2018-12-13,2.0,0.0
2018-12-12,2.0,2.531780798429
2018-12-11,1.95,2.5975486403260737
2018-12-10,1.9,-5.129329438755057
2018-12-07,2.0,0.0
2018-12-06,2.0,-2.469261259037141
2018-12-05,2.05,-2.4097551579060643
2018-12-04,2.1,4.879016416943205
2018-12-03,2.0,2.531780798429
2018-11-30,1.95,-5.0010420574661305
2018-11-29,2.05,-2.4097551579060643
2018-11-28,2.1,-4.652001563489293
2018-11-27,2.2,0.0
2018-11-26,2.2,4.652001563489291
2018-11-22,2.1,4.879016416943205
2018-11-21,2.0,2.531780798429
2018-11-20,1.95,2.5975486403260737
2018-11-19,1.9,2.666824708216127
2018-11-16,1.85,-2.666824708216118
2018-11-15,1.9,-5.129329438755057
2018-11-14,2.0,-4.879016416943205
2018-11-13,2.1,-4.652001563489293
2018-11-12,2.2,-4.445176257083369
2018-11-06,2.2,4.652001563489291
2018-11-05,2.1,4.879016416943205
2018-11-02,2.0,2.531780798429
2018-11-01,1.95,2.5975486403260737
2018-10-31,1.9,2.666824708216127
2018-10-30,1.85,2.739897418811456
2018-10-29,1.8,2.817087696669644
2018-10-26,1.75,-2.8170876966696334
2018-10-25,1.8,-2.7398974188114504
2018-10-24,1.85,-2.666824708216118
2018-10-23,1.9,-2.597548640326068
2018-10-22,1.95,-2.53178079842899
2018-10-19,2.0,0.0
2018-10-17,2.0,-4.879016416943205
2018-10-16,2.1,0.0
2018-10-15,2.1,0.0
2018-10-12,2.1,0.0
2018-10-11,2.1,-2.3530497410194045
2018-10-10,2.15,4.7628048989254665
2018-10-09,2.05,-4.76280489892547
2018-10-08,2.15,-4.54623740767574
2018-10-05,2.25,-2.1978906718775115
2018-10-04,2.3,-4.255961441879601
2018-10-03,2.4,4.25596144187959
2018-10-01,2.3,-4.255961441879601
2018-09-28,2.4,-2.0619287202735816
2018-09-27,2.45,-2.0202707317519355
2018-09-26,2.5,-3.9220713153281386
2018-09-25,2.6,-3.7740327982847086
2018-09-24,2.7,-3.6367644170874716
2018-09-21,2.8,-3.509131981127017
2018-09-19,2.9,-3.390155167568134
2018-09-18,3.0,-4.879016416943195
2018-09-17,3.15,1.600034134644112
2018-09-14,3.1,-3.1748698314580297
2018-09-12,3.2,0.0
2018-09-11,3.2,0.0
2018-09-10,3.2,-4.580953603129422
2018-09-07,3.35,-2.941388520629334
2018-09-06,3.45,0.0
2018-09-05,3.45,-5.635293655113163
2018-09-04,3.65,-10.398971352404764
2018-09-03,4.05,-7.145896398214487
2018-08-31,4.35,13.517477836825254
2018-08-30,3.8,17.185025692665903
2018-08-29,3.2,11.583181552512164
2018-08-28,2.85,1.7699577099401076
2018-08-27,2.8,0.0
2018-08-24,2.8,-3.509131981127017
2018-08-23,2.9,1.739174271186902
2018-08-21,2.85,-1.7391742711869107
2018-08-20,2.9,0.0
2018-08-17,2.9,1.739174271186902
2018-08-16,2.85,0.0
2018-08-14,2.85,-1.7391742711869107
2018-08-13,2.9,-3.390155167568134
2018-08-10,3.0,-4.879016416943195
2018-08-09,3.15,-1.574835696813928
2018-08-08,3.2,-3.0771658666753545
2018-08-07,3.3,-5.884050002293346
2018-08-06,3.5,17.095779814363947
2018-08-03,2.95,12.629372532429207
2018-08-02,2.6,-1.9048194970694363
2018-08-01,2.65,0.0
2018-07-31,2.65,0.0
2018-07-30,2.65,1.9048194970694412
2018-07-27,2.6,3.922071315328133
2018-07-26,2.5,-3.9220713153281386
