Date,Percent
2018-04-27#2018-05-31,-14.307692307692305
2018-06-01#2018-06-28,-1.1648745519713237
2018-06-29#2018-07-26,-10.037878787878784
2018-07-27#2018-08-30,-4.6890927624872525
2018-08-31#2018-09-27,-18.458197611292075
2018-09-28#2018-10-25,-1.0825439783491357
2018-10-26#2018-11-29,-5.277401894451969
2018-11-30#2018-12-27,2.397743300423115
