Date,Close,SMA,Change
2018-06-01,29868.8008,29868.9145,0.00038066476374257945
2018-05-31,30780.6992,29870.129,-2.958250539026087
2018-05-30,30136.3008,29873.671,-0.8714732499617286
2018-05-29,30510.6992,29883.5935,-2.0553632543432507
2018-05-28,30682.8008,29890.889,-2.580963208547773
2018-05-25,30203.4004,29895.661,-1.0188899128059719
2018-05-24,29515.4004,29898.2745,1.2972011045460896
2018-05-23,29392.0996,29906.4665,1.7500175455311715
2018-05-22,29929.5996,29917.03,-0.041997220704558094
2018-05-21,29432.9004,29917.788,1.6474339715429536
