Date,Close,SMA,Change
2018-06-08,1000.9,1022.8968,-2.197702068138676
2018-06-07,1010.2,1022.5968,-1.2271629380320714
2018-06-06,1007.9,1022.3158,-1.4302807818235925
2018-06-05,984.3,1021.9805,-3.8281519861830793
2018-06-04,1005.55,1021.7653,-1.6125801800010016
2018-06-01,1030.85,1021.3283,0.9236746374351164
2018-05-31,1019.3,1020.7238,-0.13968409692926798
2018-05-30,1035.2,1020.4248,1.4272797527047953
2018-05-29,1028.1,1020.0338,0.7845734850695328
2018-05-28,1047.05,1019.7823,2.6042404851726273
