Date,Close,SMA,Change
2018-06-04,1833.15,1785.3178,-2.6092900199110853
2018-06-01,1844.25,1784.6288,-3.232815507658943
2018-05-31,1833.0,1783.9565,-2.675586470267321
2018-05-30,1790.8,1783.4498,-0.41044226044225257
2018-05-29,1809.75,1783.0953,-1.4728387898881086
2018-05-28,1829.55,1782.6735,-2.562187423136829
2018-05-25,1819.75,1782.1825,-2.0644319274625693
2018-05-24,1806.1,1781.7675,-1.3472399091966105
2018-05-23,1783.65,1781.569,-0.11667087152749311
2018-05-22,1810.0,1781.5463,-1.5720276243093936
