Date,Close,SMA,Change
2018-07-09,1288.0,1286.6828,0.10226708074533829
2018-07-06,1266.3,1286.3723,-1.585114111979787
2018-07-05,1254.45,1286.2305,-2.5334210211646413
2018-07-04,1259.5,1286.0203,-2.1056212782850263
2018-07-03,1251.5,1285.7938,-2.740215741110661
2018-07-02,1255.95,1285.653,-2.364982682431623
2018-06-29,1275.1,1285.5245,-0.8175437220610211
2018-06-28,1234.95,1285.2383,-4.072091987529855
2018-06-27,1232.75,1284.9255,-4.232447779355105
2018-06-26,1270.05,1284.4073,-1.1304515570253237
