Date,Close,SMA,Change
2018-06-14,8958.0,8689.9007,2.9928477338691657
2018-06-13,8967.3496,8683.175,3.168992095501667
2018-06-12,9016.75,8676.2035,3.776820916627392
2018-06-11,9022.6504,8668.6003,3.924014389386076
2018-06-08,8932.4502,8660.9965,3.038961247161502
2018-06-07,8911.25,8654.3282,2.8831174077710764
2018-06-06,8842.3496,8647.6842,2.2015121410716434
2018-06-05,8810.4004,8641.9782,1.91162935114732
2018-06-04,8749.8496,8635.9685,1.3015206569950495
2018-06-01,8808.8496,8629.5062,2.0359457607268006
